postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1051 PS Amsterdam;Waterloop 552;52.38180000;4.87170000;485000;95;319;3;1996;1;appartement;27;3
1016 EW Amsterdam;Keizersgracht 298 -C;52.37090000;4.88160000;1000000;121;445;1;1945;0;appartement;22;2
1033 KM Amsterdam;Pruimenstraat 12 E;52.40920000;4.89020000;250000;82;240;4;2004;0;appartement;21;2
1067 MZ Amsterdam;Troelstralaan 84;52.37860000;4.79870000;299500;105;345;3;1985;1;woonhuis;17;5
1102 SX Amsterdam;Anna Blamansingel 252;52.31660000;4.95170000;250000;104;300;1;2006;0;appartement;24;3
1064 NK Amsterdam;Anselmushof 5;52.37420000;4.82180000;182500;60;175;3;1945;1;woonhuis;15;4
1064 PR Amsterdam;Tretjakovlaan 22;52.37420000;4.82180000;250000;98;270;16;1998;0;appartement;35;3
1012 HG Amsterdam;Sint Jansstraat 48 hs;52.37350000;4.89510000;319000;51;182;1;1906;1;appartement;27;2
1015 KZ Amsterdam;Lindenstraat 80 -2;52.37840000;4.88360000;325000;51;158;1;1906;0;appartement;15;2
1018 AM Amsterdam;Cruquiuskade 57;52.36760000;4.91840000;575000;135;354;1;2005;0;appartement;20;3
1073 LL Amsterdam;Van Woustraat 12 2;52.35320000;4.89820000;349000;66;242;1;1885;0;appartement;16;3
1075 RG Amsterdam;Lomanstraat 86 bov.;52.35180000;4.85860000;1100000;195;732;3;1914;1;appartement;54;8
1108 CX Amsterdam;Leusdenhof 81;52.30820000;4.98070000;0;76;199;1;1980;0;appartement;1;3
1051 KS Amsterdam;Haarlemmerweg 89 e;52.38180000;4.87170000;215000;33;87;1;1983;0;appartement;1;1
1102 JB Amsterdam;Huntum 32;52.31660000;4.95170000;350000;0;0;1;0;0;onbekend;1;1
1096 CR Amsterdam;Ouderkerkerdijk 170 *;52.33870000;4.91970000;1350000;138;570;2;1999;1;woonhuis;25;5
1107 ZX Amsterdam;Spankerenkade 2;52.29320000;4.98030000;205000;82;230;2;1985;1;woonhuis;22;4
1019 DN Amsterdam;Oostelijke Handelskade 1155;52.37330000;4.93910000;480000;97;235;1;1998;0;appartement;9;3
1051 JK Amsterdam;Rochussenstraat 12 IV;52.38180000;4.87170000;225000;43;116;1;1905;0;appartement;17;2
1065 Amsterdam;Jacques Veltmanstraat;52.35730000;4.82780000;21000;0;0;1;0;0;parkeergelegenheid;5;1
1033 VP Amsterdam;Marsstraat 10;52.40920000;4.89020000;200000;60;218;3;1923;1;woonhuis;21;4
1065 LT Amsterdam;Aaf Bouberstraat 76;52.35730000;4.82780000;224500;85;246;2;1984;0;appartement;20;4
1098 XB Amsterdam;Carolina MacGillavrylaan 628;52.35290000;4.94220000;580000;131;347;2;2009;0;appartement;38;4
1102 WZ Amsterdam;Dalsteindreef 236;52.31660000;4.95170000;239990;104;270;1;1985;0;appartement;1;5
1081 HR Amsterdam;Pekkendam 10;52.32780000;4.86200000;1995000;324;1050;3;1960;1;woonhuis;44;11
1064 NJ Amsterdam;Geert Grootestraat 4;52.37420000;4.82180000;175000;60;110;3;1945;1;woonhuis;21;4
1093 RV Amsterdam;Pontanusstraat 5 B;52.36180000;4.92800000;316500;63;195;1;1996;0;appartement;23;2
1011 TB Amsterdam;Prins Hendrikkade 163;52.37100000;4.90410000;885000;160;480;1;1906;0;woonhuis;13;3
1103 GT Amsterdam;Grubbehoeve 228;52.32310000;4.97220000;149000;69;175;1;1970;0;appartement;27;3
1058 BZ Amsterdam;Curaçaostraat 70 -I;52.35790000;4.85100000;260000;56;188;1;1931;0;appartement;37;3
1076 PM Amsterdam;Hectorstraat 11 Hs;52.34550000;4.86070000;485000;81;220;1;1930;1;appartement;14;3
1094 KZ Amsterdam;Tweede Atjehstraat 5 -S;52.36260000;4.93600000;250000;55;172;1;1997;0;appartement;42;4
1056 DK Amsterdam;Hondiusstraat 2 D;52.37320000;4.85600000;175000;43;175;1;1931;0;appartement;17;2
1019 HD Amsterdam;Veemkade 248;52.37330000;4.93910000;465000;100;320;2;2005;0;appartement;23;3
1087 EM Amsterdam;IJburglaan 764 PP;52.35390000;5.00050000;35000;0;0;1;0;0;parkeergelegenheid;3;1
1060 NW Amsterdam;Adamello 41;52.34910000;4.78350000;275000;88;250;2;1997;1;appartement;25;4
1072 LE Amsterdam;Ferdinand Bolstraat 111 I;52.35350000;4.89020000;300000;50;153;1;1892;0;appartement;20;2
1058 GA Amsterdam;Saskia van Uijlenburgkade 132;52.35790000;4.85100000;999000;218;825;1;2010;1;appartement;45;4
1098 WG Amsterdam;Wembleylaan 28;52.35290000;4.94220000;679028;155;480;3;2002;1;woonhuis;19;5
1077 AN Amsterdam;Apollolaan 97 I;52.34600000;4.87380000;459000;71;256;1;1906;0;appartement;13;2
1087 MN Amsterdam;Jan Vrijmanstraat 295;52.35390000;5.00050000;670000;149;633;3;2009;1;woonhuis;33;5
1106 DH Amsterdam;Veldhuizenstraat 74;52.29910000;4.97540000;149000;73;180;1;1982;0;appartement;18;3
1067 AJ Amsterdam;Cornelis Roobolstraat 18;52.37860000;4.79870000;199000;96;314;2;1956;1;woonhuis;20;5
1054 HM Amsterdam;Overtoom 114 I;52.36170000;4.86690000;275000;42;147;1;1906;0;appartement;18;3
1033 DJ Amsterdam;Krasseurstraat 141;52.40920000;4.89020000;319000;108;328;3;1989;1;woonhuis;26;5
1034 ES Amsterdam;Statenjachtstraat 382;52.40750000;4.91700000;160000;71;247;8;1967;0;appartement;21;3
1053 VN Amsterdam;Bilderdijkkade 68 II;52.36680000;4.86810000;250000;45;135;1;1895;0;appartement;19;2
1012 SP Amsterdam;Spuistraat 3 F 9;52.37350000;4.89510000;249500;0;0;1;0;0;onbekend;1;1
1071 GJ Amsterdam;Van Eeghenstraat 52 huis;52.35520000;4.87890000;2000000;196;664;3;1896;1;appartement;40;5
1052 JC Amsterdam;Frederik Hendrikstraat 122 II;52.37700000;4.87400000;375000;67;228;1;1905;0;appartement;27;3
1024 BB Amsterdam;Jisperveldstraat 554;52.39390000;4.95470000;175000;84;259;11;1968;0;appartement;21;4
1054 DT Amsterdam;Eerste Helmersstraat 183 HS;52.36170000;4.86690000;1065000;150;515;2;1904;1;appartement;44;4
1087 MG Amsterdam;Nico Jessekade 45;52.35390000;5.00050000;789000;188;647;3;2008;1;woonhuis;56;6
1103 LJ Amsterdam;Groenhoven 343;52.32310000;4.97220000;118500;55;154;1;1974;0;appartement;11;2
1051 AL Amsterdam;De Wittenkade 124 h;52.38180000;4.87170000;345000;66;181;1;1905;1;appartement;26;3
1055 XN Amsterdam;Louise de Colignystraat 54 -I;52.38020000;4.85240000;165000;46;138;1;1931;0;appartement;18;2
1033 ZS Amsterdam;Stoelenmatterspad 20;52.40920000;4.89020000;275000;0;0;1;0;0;onbekend;1;1
1054 WE Amsterdam;Wilhelminastraat 179 II;52.36170000;4.86690000;275000;49;165;1;1905;0;appartement;22;2
1032 GW Amsterdam;Korenbloemstraat 46;52.39640000;4.91260000;325000;77;337;2;1930;1;woonhuis;27;4
1082 JG Amsterdam;Van Nijenrodeweg 752;52.33110000;4.87420000;148000;34;95;1;1955;0;appartement;10;2
1012 BV Amsterdam;Barndesteeg 27;52.37350000;4.89510000;580000;95;320;3;1899;0;appartement;20;5
1017 XT Amsterdam;Weteringschans 112 -II;52.36300000;4.89240000;399000;73;290;1;1906;0;appartement;18;3
1013 Amsterdam;Houthavenweg;52.38770000;4.88390000;1165864;211;600;1;2017;0;appartement;7;7
1106 WG Amsterdam;Anne Kooistrahof 21;52.29910000;4.97540000;232500;90;234;1;1986;0;woonhuis;1;3
1052 CX Amsterdam;Nassaukade 103 -IV;52.37700000;4.87400000;425000;72;235;1;1885;0;appartement;21;3
1025 HA Amsterdam;Het Hoogt 38;52.39900000;4.93610000;325000;153;490;2;1968;0;appartement;29;5
1017 GN Amsterdam;Kerkstraat 78 E;52.36300000;4.89240000;550000;100;287;1;1906;0;appartement;25;2
1018 CD Amsterdam;Kazernestraat 18 BG;52.36760000;4.91840000;599000;111;265;2;1900;1;appartement;31;3
1094 JS Amsterdam;Balistraat 90 -IV;52.36260000;4.93600000;200000;35;110;1;1914;0;appartement;24;2
1094 JP Amsterdam;Balistraat 56 I;52.36260000;4.93600000;225000;38;120;1;1912;0;appartement;16;2
1012 NK Amsterdam;Sint Nicolaasstraat 26 2;52.37350000;4.89510000;395000;47;98;1;1906;0;appartement;1;3
1063 CE Amsterdam;Fritz Conijnstraat 36 -II;52.38140000;4.82590000;185000;57;200;1;1955;0;appartement;31;3
1056 XH Amsterdam;Jan Haringstraat 10 3;52.37320000;4.85600000;649000;116;335;2;1938;0;appartement;27;4
